id,avaliacao_id,lote_id,requested_by_user_id,requested_by_role,reason,respostas_count,created_at
64502096-66b2-48df-9bb5-31ba06176177,10004,1004,100,gestor,\zcczzc\c\zz\c\z\z,37,2026-02-11 23:59:11.353752+00
fded5139-4c2c-4c3a-a4e6-7cb7aaa9df8b,10022,1013,100,gestor,dsdgdgsdgdg,0,2026-02-12 21:33:13.897585+00
7de193a1-7557-4a60-b44f-2d4069de41ff,10027,1014,100,gestor,dfhfdhfdhh,3,2026-02-12 23:47:33.768794+00
c32717bf-d91f-4de6-a5ca-27e9bf0e711a,10021,1012,-1,rh,errrrrq,0,2026-02-13 12:49:33.746615+00
cb06bbef-c1bb-4856-9d6d-0d188c6a575c,10053,1026,114,gestor,sfsfasfasfsf,2,2026-02-17 13:06:14.202157+00
a9314d5d-9b9f-45ea-b542-f021eec799d6,10056,1027,-1,rh,iopiopiopipo,2,2026-02-17 16:20:13.70858+00
10a39a68-b596-4f73-92d6-2dbe6e7187fe,10069,1035,-1,rh,wtwewer,3,2026-02-23 23:10:38.266045+00
446bc2ad-b002-447f-874c-21ed7d33cafe,10082,1040,-1,rh,vxvxzvxzzvxvzx,3,2026-02-27 13:26:32.533949+00
b9a0098f-ca38-4482-8a64-517a75283516,10091,1044,-1,rh,ttggg fgfgfgfgfgsf,8,2026-03-27 19:34:52.467476+00
31949dd9-704f-430f-b9ce-8cbd4903f3ad,10151,1057,-1,rh,ertre rttrte rttrtreet,3,2026-04-02 19:14:38.301892+00
