id,funcionario_id,empresa_id,ativo,data_vinculo,data_desvinculo,clinica_id
1,1014,5,t,2026-02-10 10:29:30.334004,,104
2,1015,5,t,2026-02-10 10:29:30.334004,,104
3,1022,6,t,2026-02-11 01:52:46.462014,,107
4,1023,6,t,2026-02-11 01:52:46.462014,,107
5,1028,8,t,2026-02-12 19:02:42.320733,,109
6,1029,8,t,2026-02-12 19:03:11.085611,,109
7,1030,8,t,2026-02-12 19:03:11.085611,,109
8,1035,9,t,2026-02-13 02:52:24.570994,,111
9,1036,9,t,2026-02-13 02:52:24.570994,,111
10,1037,9,t,2026-02-13 02:52:56.066561,,111
11,1038,5,t,2026-02-13 12:50:37.130818,,104
12,1039,5,t,2026-02-16 14:21:52.758386,,104
13,1040,5,t,2026-02-16 14:21:52.758386,,104
14,1041,10,t,2026-02-16 14:33:39.207958,,112
15,1042,10,t,2026-02-16 14:33:39.207958,,112
16,1044,10,t,2026-02-16 14:37:45.859881,,112
17,1045,10,t,2026-02-16 14:53:35.202602,,112
18,1046,10,t,2026-02-16 15:05:09.770462,,112
19,1047,10,t,2026-02-16 15:53:09.625096,,112
20,1048,11,t,2026-02-16 17:45:09.441807,,112
21,1049,12,t,2026-02-16 18:27:53.784931,,113
22,1050,12,t,2026-02-16 19:31:58.673459,,113
23,1056,13,t,2026-02-17 16:16:53.971443,,115
24,1057,13,t,2026-02-17 16:17:09.123499,,115
25,1058,13,t,2026-02-17 16:17:09.123499,,115
26,1059,14,t,2026-02-17 19:31:06.18026,,104
27,1061,14,t,2026-02-18 02:38:51.457532,,104
28,1062,14,t,2026-02-18 03:04:14.824525,,104
29,1063,14,t,2026-02-18 11:06:59.005189,,104
30,1066,15,t,2026-02-23 23:07:07.097429,,118
31,1067,15,t,2026-02-23 23:07:07.097429,,118
32,1068,15,t,2026-02-23 23:08:21.88378,,118
33,1070,17,t,2026-02-25 18:22:36.592525,,120
34,1072,14,t,2026-02-27 04:10:13.427839,,104
35,1076,18,t,2026-02-27 13:22:57.738886,,123
36,1077,18,t,2026-02-27 13:22:57.738886,,123
37,1078,18,t,2026-02-27 13:22:57.738886,,123
38,1079,18,t,2026-02-27 13:23:23.914126,,123
39,1085,19,t,2026-03-08 01:13:57.234892,,128
40,1086,19,t,2026-03-08 01:13:57.234892,,128
41,1087,20,t,2026-03-09 02:01:07.291613,,129
42,1088,20,t,2026-03-09 02:02:01.697892,,129
43,1089,20,t,2026-03-09 02:02:01.697892,,129
44,1090,20,t,2026-03-09 02:02:01.697892,,129
45,1091,20,t,2026-03-09 21:03:11.410881,,129
46,1092,20,t,2026-03-09 21:03:11.410881,,129
47,1093,5,t,2026-03-09 22:39:06.167757,,104
48,1094,5,t,2026-03-09 22:39:06.167757,,104
49,1095,5,t,2026-03-10 22:58:33.788512,,104
50,1096,21,t,2026-03-16 13:13:49.006499,,131
51,1097,21,t,2026-03-16 13:13:49.006499,,131
52,1098,21,t,2026-03-16 13:13:49.006499,,131
53,1099,21,t,2026-03-16 13:13:49.006499,,131
54,1100,21,t,2026-03-16 13:13:49.006499,,131
55,1101,21,t,2026-03-16 13:13:49.006499,,131
56,1102,21,t,2026-03-16 13:13:49.006499,,131
57,1103,21,t,2026-03-16 13:13:49.006499,,131
58,1104,21,t,2026-03-16 13:13:49.006499,,131
59,1105,21,t,2026-03-16 13:13:49.006499,,131
60,1106,21,t,2026-03-16 13:13:49.006499,,131
61,1107,21,t,2026-03-16 13:13:49.006499,,131
62,1108,22,t,2026-03-16 17:56:01.789464,,129
63,1136,17,t,2026-03-20 11:26:54.860989,,120
64,1138,21,t,2026-03-24 20:19:21.049176,,131
65,1140,21,t,2026-03-25 15:18:29.06266,,131
66,1141,23,t,2026-03-26 18:15:45.445692,,120
67,1142,24,t,2026-03-27 17:39:24.578741,,120
68,1143,23,t,2026-03-31 17:57:17.976982,,120
69,1144,23,t,2026-03-31 18:01:36.895152,,120
70,1147,23,t,2026-04-02 12:08:44.547409,,120
71,1148,14,t,2026-04-02 18:46:34.590319,,104
72,1149,14,t,2026-04-02 18:49:57.120814,,104
